STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,CN_ASSIGN_DATE,CN_CHANGE_REASON,CN_CHANGE_REASON_EXP,RECORD_STATUS,GPS_SPS,GPS_SPS_EXP,EXPERIMENT_NO,EXPERIMENT_NO_EXP,STATUS_EXP,STATUS,ASSIGN_DATE,DEASSIGN_DATE,SEAS_ID,SUPPLEMENTAL,EXP_SECT_RS,BASIC_INFO_RS,PAV_STRUCT_RS,TRAFFIC_RS,CLIMATIC_RS,PAVEMENT_FAMILY,PAVEMENT_FAMILY_EXP
29,Missouri,0959,3,1996-07-25,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,9J,"Superpave Asphalt Binder Study, AC Overlay on JCP)",Out-of-study,O,1996-01-01,2008-04-01,,S,E,E,E,E,E,ACPCC,
29,Missouri,0960,3,1996-07-25,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,9J,"Superpave Asphalt Binder Study, AC Overlay on JCP)",Out-of-study,O,1996-01-01,2008-04-01,,S,E,E,E,E,E,ACPCC,
29,Missouri,0961,3,1996-07-25,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,9J,"Superpave Asphalt Binder Study, AC Overlay on JCP)",Out-of-study,O,1996-01-01,2008-04-01,,S,E,E,E,E,E,ACPCC,
29,Missouri,0962,3,1996-08-20,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,9J,"Superpave Asphalt Binder Study, AC Overlay on JCP)",Out-of-study,O,1996-01-01,2008-04-01,,S,E,E,E,E,E,ACPCC,
29,Missouri,0963,3,1996-08-20,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,9J,"Superpave Asphalt Binder Study, AC Overlay on JCP)",Out-of-study,O,1996-01-01,2008-04-01,,S,E,E,E,E,E,ACPCC,
29,Missouri,0964,3,1996-08-20,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,9J,"Superpave Asphalt Binder Study, AC Overlay on JCP)",Out-of-study,O,1996-01-01,2008-04-01,,S,E,E,E,E,E,ACPCC,
17,Illinois,0601,4,1997-05-01,54,Partial depth patching of PCC pavements at joints,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2001-06-01,,,E,E,E,E,E,JRCP,
17,Illinois,0602,4,1994-05-01,26,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2001-06-01,,,E,E,E,E,E,JRCP,
17,Illinois,0603,3,1997-10-14,"1,26","Crack Sealing, Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate)",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,,E,E,E,E,E,ACPCC,
17,Illinois,0604,4,1997-10-14,1,Crack Sealing,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,,E,E,E,E,E,ACPCC,
17,Illinois,0605,6,1999-09-27,"6,54","Partial Depth Patching of PCC Pavement Other Than at Joint, Partial depth patching of PCC pavements at joints",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2001-06-01,,,E,E,E,E,E,JRCP,
29,Missouri,1002,2,2000-03-18,1,Crack Sealing,E,G,General Pavement Studies,1,Asphalt Concrete on Unbound Granular Base,Out-of-study,O,1987-01-01,2003-09-01,,,E,E,E,E,E,ACUB,
29,Missouri,1002,3,2001-03-14,1,Crack Sealing,E,G,General Pavement Studies,1,Asphalt Concrete on Unbound Granular Base,Out-of-study,O,1987-01-01,2003-09-01,,,E,E,E,E,E,ACUB,
29,Missouri,1002,4,2002-02-04,1,Crack Sealing,E,G,General Pavement Studies,1,Asphalt Concrete on Unbound Granular Base,Out-of-study,O,1987-01-01,2003-09-01,,,E,E,E,E,E,ACUB,
29,Missouri,1008,2,1997-04-01,1,Crack Sealing,E,G,General Pavement Studies,1,Asphalt Concrete on Unbound Granular Base,Out-of-study,O,1987-01-01,2005-09-03,,,E,E,E,E,E,ACUB,
29,Missouri,4069,3,1998-03-04,1,Crack Sealing,E,G,General Pavement Studies,7B,"AC Overlay with Conventional Asphalt Cement on PCC Pavement, with CPR or No Pretreatment",Out-of-study,O,1991-09-20,2002-12-31,,,E,E,E,E,E,ACPCC,
29,Missouri,5483,3,1998-03-17,1,Crack Sealing,E,G,General Pavement Studies,7B,"AC Overlay with Conventional Asphalt Cement on PCC Pavement, with CPR or No Pretreatment",Out-of-study,O,1991-08-15,2004-12-31,,,E,E,E,E,E,ACPCC,
29,Missouri,5483,4,2000-11-21,1,Crack Sealing,E,G,General Pavement Studies,7B,"AC Overlay with Conventional Asphalt Cement on PCC Pavement, with CPR or No Pretreatment",Out-of-study,O,1991-08-15,2004-12-31,,,E,E,E,E,E,ACPCC,
29,Missouri,0709,3,2000-02-15,"1,2,3","Crack Sealing, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",E,S,Specific Pavement Studies,7,Bonded Concrete Overlay on Portland Cement Concrete Pavement,Out-of-study,O,1987-01-01,2005-12-31,,,E,E,E,E,E,PCPCC,
29,Missouri,0759,3,2000-02-15,1,Crack Sealing,E,S,Specific Pavement Studies,7,Bonded Concrete Overlay on Portland Cement Concrete Pavement,Out-of-study,O,1987-01-01,2005-12-31,,S,E,E,E,E,E,ACPCC,
29,Missouri,0760,3,2000-02-15,"1,2,3","Crack Sealing, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",E,S,Specific Pavement Studies,7,Bonded Concrete Overlay on Portland Cement Concrete Pavement,Out-of-study,O,1987-01-01,2005-12-31,,S,E,E,E,E,E,PCPCC,
29,Missouri,A310,3,1995-12-05,1,Crack Sealing,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-08-01,,,E,E,E,E,E,ACUB,
29,Missouri,A320,3,1995-12-05,1,Crack Sealing,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-08-01,,,E,E,E,E,E,ACUB,
29,Missouri,A330,3,1997-12-10,1,Crack Sealing,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-08-01,,,E,E,E,E,E,ACUB,
31,Nebraska,C430,2,1992-06-01,54,Partial depth patching of PCC pavements at joints,E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,E,E,E,JRCP,
21,Kentucky,4025,2,1994-04-18,54,Partial depth patching of PCC pavements at joints,E,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,1987-01-01,1995-06-01,,,E,E,E,E,E,JRCP,
31,Nebraska,7017,3,1998-01-15,22,Manual Premix Spot Patch (hand spreading and compacting with roller),E,G,General Pavement Studies,7A,Existing AC Overlay on PCC Pavement,Out-of-study,O,1987-01-01,1999-03-25,,,E,E,E,E,E,ACPCC,
31,Nebraska,7050,4,2003-04-01,"10,55","AC Shoulder Restoration, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",E,G,General Pavement Studies,7S,AC Overlay on PCC Pavement with Pretreatment,Out-of-study,O,1995-08-03,2008-07-01,,,E,E,E,E,E,ACPCC,
55,Wisconsin,3015,2,1993-05-01,3,Lane-Shoulder Longitudinal Joint Sealing,E,G,General Pavement Studies,3,Jointed Plain Concrete Pavement (JPCP),Out-of-study,O,1987-01-01,1999-07-12,,,E,E,E,E,E,JPCUB,
55,Wisconsin,3016,2,1994-05-01,3,Lane-Shoulder Longitudinal Joint Sealing,E,G,General Pavement Studies,3,Jointed Plain Concrete Pavement (JPCP),Out-of-study,O,1987-01-01,1999-04-26,,,E,E,E,E,E,JPCUB,
31,Nebraska,4019,3,1997-06-01,54,Partial depth patching of PCC pavements at joints,E,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,1987-01-01,2010-05-19,,,E,E,E,E,E,JRCP,
31,Nebraska,C430,3,1997-06-01,54,Partial depth patching of PCC pavements at joints,E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,E,E,E,JRCP,
31,Nebraska,C410,4,2000-05-01,"1,2,3,6,10","Crack Sealing, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Partial Depth Patching of PCC Pavement Other Than at Joint, AC Shoulder Restoration",E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,E,E,E,JRCP,
83,Manitoba,3802,3,2000-09-01,19,Asphalt Concrete Overlay,E,G,General Pavement Studies,7B,"AC Overlay with Conventional Asphalt Cement on PCC Pavement, with CPR or No Pretreatment",Out-of-study,O,2000-09-01,2006-09-01,,,E,E,E,E,E,ACATB,
17,Illinois,5843,6,2002-04-16,5,Full Depth Patching of PCC Pavement Other Than at Joint,E,G,General Pavement Studies,5,Continuously Reinforced Concrete Pavement (CRCP),Out-of-study,O,1987-01-01,2002-10-30,,,E,E,E,E,E,CRCP,
17,Illinois,5843,7,2002-10-30,19,Asphalt Concrete Overlay,E,G,General Pavement Studies,7C,"AC Overlay with Modified Asphalt Cement on PCC Pavement, with CPR or No Pretreatment",Out-of-study,O,2002-10-30,2017-04-01,,,E,E,E,E,E,ACATB,
18,Indiana,5043,2,2002-09-01,19,Asphalt Concrete Overlay,E,G,General Pavement Studies,7B,"AC Overlay with Conventional Asphalt Cement on PCC Pavement, with CPR or No Pretreatment",Out-of-study,O,2002-09-01,2017-06-30,,,E,E,E,E,E,ACPCC,
39,Ohio,9006,2,2001-09-01,"1,2,3,6,25,54","Crack Sealing, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Partial Depth Patching of PCC Pavement Other Than at Joint, Patch Pot Holes - Hand Spread, Compacted with Truck, Partial depth patching of PCC pavements at joints",E,G,General Pavement Studies,9,Unbonded PCC Overlay of PCC Pavement,,,1987-01-01,2013-05-06,,,E,E,E,E,E,PCPCC,
46,South Dakota,0601,3,1995-08-08,"4,5","Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,,,1992-01-01,2003-09-01,,,E,E,E,E,E,JPCTB,
46,South Dakota,0601,4,1997-08-08,54,Partial depth patching of PCC pavements at joints,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,,,1992-01-01,2003-09-01,,,E,E,E,E,E,JPCTB,
46,South Dakota,0601,5,2000-08-20,54,Partial depth patching of PCC pavements at joints,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,,,1992-01-01,2003-09-01,,,E,E,E,E,E,JPCTB,
46,South Dakota,0601,6,2001-06-01,"10,54","AC Shoulder Restoration, Partial depth patching of PCC pavements at joints",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,,,1992-01-01,2003-09-01,,,E,E,E,E,E,JPCTB,
17,Illinois,0601,6,2000-04-27,4,Full Depth Transverse Joint Repair Patch,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2001-06-01,,,E,E,E,E,E,JRCP,
17,Illinois,0601,7,2001-06-01,"4,10,19","Full Depth Transverse Joint Repair Patch, AC Shoulder Restoration, Asphalt Concrete Overlay",E,G,General Pavement Studies,7B,"AC Overlay with Conventional Asphalt Cement on PCC Pavement, with CPR or No Pretreatment",Out-of-study,O,2001-06-01,2010-06-01,,,D,E,E,,E,ACPCC,
27,Minnesota,4034,2,1990-06-01,5,Full Depth Patching of PCC Pavement Other Than at Joint,E,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,1987-01-01,2016-08-01,,,E,E,E,E,E,JRCP,
39,Ohio,4018,2,2003-04-24,6,Partial Depth Patching of PCC Pavement Other Than at Joint,E,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,1987-01-01,2003-09-09,,,E,E,E,E,E,JRCP,
39,Ohio,4018,3,2003-09-09,43,Hot-Mix Recycled Asphalt Concrete Overlay,E,G,General Pavement Studies,7C,"AC Overlay with Modified Asphalt Cement on PCC Pavement, with CPR or No Pretreatment",Out-of-study,O,2003-09-09,2010-09-01,,,E,E,E,E,E,ACTB,
39,Ohio,7021,2,1999-04-20,"10,24,55","AC Shoulder Restoration, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",E,G,General Pavement Studies,7S,AC Overlay on PCC Pavement with Pretreatment,Out-of-study,O,1999-04-20,2004-06-01,,,E,E,E,E,E,ACPCC,
18,Indiana,2008,3,1994-06-01,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,G,General Pavement Studies,6B,"AC Overlay with Conventional Asphalt Cement on AC Pavement, No Milling",Out-of-study,O,1994-06-01,2003-11-03,,,E,E,E,E,E,ACATB,
