,SHRP_ID,STATE_CODE,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,AADT_ALL_VEHIC,MEPDG_TRANS_CRACK_LENGTH_AC,Mean_IRI,IRI_condition,year,initial_IRI,AADT,crack,construction_time
157,0102,19,1993-10-15,0.873600006,0.8874000192,-1.0,215.96666666666667,0.8805000126,2.0,1993,0.8805000126,,215.96666666666667,29
108,0102,1,1994-08-25,0.9269999982,0.9668000102,-1.0,26.2,0.9469000042,2.0,1994,0.8805000126,,26.2,28
168,0102,20,1994-05-13,1.191599989,1.130400014,-1.0,-1.0,1.1610000015,2.0,1994,0.8805000126,,,28
109,0102,1,1995-10-30,0.8831999897999999,0.911800003,-1.0,26.2,0.8974999963999999,2.0,1995,0.8805000126,,26.2,27
158,0102,19,1995-02-15,1.1528000116,1.123600006,-1.0,215.96666666666667,1.1382000088,2.0,1995,0.8805000126,,215.96666666666667,27
169,0102,20,1995-02-18,1.6645999908,1.3595999958,-1.0,-1.0,1.5120999933000001,1.0,1995,0.8805000126,,,27
110,0102,1,1996-01-10,0.9272000076,0.8796000002,-1.0,26.2,0.9034000039,2.0,1996,0.8805000126,,26.2,26
111,0102,1,1996-04-08,0.9261999846,0.9366000056,-1.0,26.2,0.9313999951,2.0,1996,0.8805000126,,26.2,26
112,0102,1,1996-08-12,0.8712000013999999,0.9466000078,-1.0,26.2,0.9089000046,2.0,1996,0.8805000126,,26.2,26
113,0102,1,1996-10-10,0.8783999918,0.917200005,-1.0,26.2,0.8977999984,2.0,1996,0.8805000126,,26.2,26
126,0102,10,1996-02-24,0.7957999946000001,1.007400012,-1.0,-1.0,0.9016000033,2.0,1996,0.8805000126,,,26
159,0102,19,1996-04-16,1.3690000055999998,1.3382000448,-1.0,215.96666666666667,1.3536000252,2.0,1996,0.8805000126,,215.96666666666667,26
170,0102,20,1996-04-23,1.7940000058,1.3437999964,-1.0,-1.0,1.5689000011,1.0,1996,0.8805000126,,,26
188,0102,39,1996-08-14,1.1536000014,1.3603999852,-1.0,-1.0,1.2569999933,2.0,1996,0.8805000126,,,26
189,0102,39,1996-08-29,2.8641999722,3.547799968600001,-1.0,-1.0,3.2059999704000006,0.0,1996,0.8805000126,,,26
114,0102,1,1997-07-03,0.8962000012000001,0.9055999996,-1.0,26.2,0.9009000004000001,2.0,1997,0.8805000126,,26.2,25
115,0102,1,1997-10-15,0.9065999864,0.9729999902,-1.0,26.2,0.9397999883,2.0,1997,0.8805000126,,26.2,25
127,0102,10,1997-06-10,0.7182000040000001,0.781000018,-1.0,-1.0,0.7496000110000001,2.0,1997,0.8805000126,,,25
128,0102,10,1997-09-29,0.7970000027999999,0.9030000092,-1.0,-1.0,0.8500000059999999,2.0,1997,0.8805000126,,,25
142,0102,12,1997-01-27,0.6578000068,0.8678000096,-1.0,34.34,0.7628000081999999,2.0,1997,0.8805000126,,34.34,25
143,0102,12,1997-09-15,0.6485999942,0.8685999988,-1.0,34.34,0.7585999965000001,2.0,1997,0.8805000126,,34.34,25
160,0102,19,1997-09-25,1.5021999836,1.7689999818,-1.0,215.96666666666667,1.6355999827,1.0,1997,0.8805000126,,215.96666666666667,25
171,0102,32,1997-04-22,0.6551999928,0.7526000024,-1.0,40.05,0.7038999976,2.0,1997,0.8805000126,,40.05,25
172,0102,32,1997-11-18,0.6062000036,0.7083999990000001,-1.0,40.05,0.6573000013000001,2.0,1997,0.8805000126,,40.05,25
181,0102,35,1997-03-11,0.5740000008,0.768599999,-1.0,3.844444444444445,0.6712999999,2.0,1997,0.8805000126,,3.844444444444445,25
